LGA_NAME,longitude,latitude,year,ch4,no2,co,isi,hotspots,nearest_landfill_distance_m,local_ch4_1km
,3.382938676718109,6.500321421923453,2018,,8.612634282718401E-5,0.050583047666857055,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2018,,8.262418375618669E-5,0.04852973322442812,,,,
,3.371041598598168,6.435574518359382,2018,,6.869456438119875E-5,0.04893462086088211,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2018,,1.0406492089086564E-4,0.05133856122831664,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2018,,8.814325263143693E-5,0.050158397099312996,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2018,,8.872305745279229E-5,0.05184262123894775,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2018,1893.2498098365684,1.0252544477513068E-4,0.05138114006769602,0.5776460115580969,0.39232753062540304,420.2295484014051,1892.121828994083
,3.3133979427410822,6.538972605796185,2018,1879.6250910271744,1.0268900320743674E-4,0.0511188113514589,0.5752684700617042,0.36326530612244884,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2018,,7.033743948767877E-5,0.04931425098432127,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2018,1856.2684769627283,2.7145428861090393E-5,0.045469070709901076,0.33311207927221503,0.0,,
,3.278654592090297,6.436661639012505,2018,,5.493290946425174E-5,0.04838186006748012,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2018,,2.6085597567193893E-5,0.04583692257488302,,,,
,3.543372794608459,6.452834182143238,2018,,5.1077652978228365E-5,0.04782636313444361,,,,
,3.3996110853402786,6.601745300860871,2018,,8.246426389744196E-5,0.05082248157044255,,,86.31210655412,
,3.25563705346346,6.574022661066469,2018,1877.8927653448318,7.743143258805553E-5,0.050759214542767286,0.5025347289512135,0.027118983288301812,460.1399614572668,1871.3013755189697
,3.309201460195535,6.663768960723279,2018,1876.5031661144835,7.306766486320975E-5,0.050670813387505495,0.47794067087760106,0.05654470749364116,950.5125159545624,1867.5169021333202
,3.5672581771737004,6.612005308838197,2018,1878.3642955593916,4.8216229243822175E-5,0.048927936896758666,0.4291013643975286,0.0,7040.53952594867,
,3.3494185431302164,6.603234507251299,2018,1899.526249570056,1.0743050004982531E-4,0.05097214127441864,0.6144661359743068,0.9537295572397287,956.074971205803,1914.608814115817
,3.157426608206033,6.455422412877074,2018,,4.0868915223027426E-5,0.04776684748223771,,,8789.271561366782,
,2.9146688563790497,6.440994144850871,2018,,2.4076089880750542E-5,0.045834843586078096,,,,
