LGA_NAME,longitude,latitude,year,ch4,no2,co,isi,hotspots,nearest_landfill_distance_m,local_ch4_1km
,3.382938676718109,6.500321421923453,2024,1952.1028822462133,8.233454547332142E-5,0.05562038762922889,0.668799264702754,1.0,5698.835062667379,1951.2437153473925
,3.394872806449673,6.454097770861189,2024,1963.6951040809845,7.588064651885847E-5,0.055385541136865335,0.656096567412497,0.9969301611665388,,1964.0566088097414
,3.371041598598168,6.435574518359382,2024,1961.9070840487755,6.284130564801767E-5,0.05533740507257757,0.630541726562441,0.21057542768273715,7395.88484241789,1964.753608383474
,3.3497221852755534,6.531854886045994,2024,1962.2201286118623,9.034662755712566E-5,0.056031309064097354,0.6869155635725944,1.0,1650.6672115471295,1960.8931646882922
,3.3463761052465557,6.492784061706699,2024,1959.5780453346213,8.25260108245421E-5,0.055330890666307524,0.668790398824002,0.9687439332168513,3372.3690074604483,1960.9259484007073
,3.383099046548305,6.538037721960958,2024,1957.8043803995317,8.386697163253172E-5,0.05638749055789846,0.6756962904202645,1.0,5125.030468664236,1958.2785611430681
,3.3162607953007317,6.623873329476793,2024,1969.1365037321693,9.525645291520405E-5,0.05675333206588935,0.6994708753874357,1.0,420.2295484014051,1969.489256344135
,3.3133979427410822,6.538972605796185,2024,1966.5511178553115,8.585242357882974E-5,0.0559242799115744,0.6777308788126175,0.963488989312101,335.1569808235823,1967.9015414930152
,3.3371227201358193,6.4553012748114424,2024,1964.7100718309105,6.779914638577506E-5,0.05514404458651871,0.6393763037495017,0.20496124031007754,7102.18461066376,1964.8321460749776
,3.9693518559495082,6.5539418200808415,2024,1928.8651347086982,3.1620819641872446E-5,0.05364674406226859,0.5203369293765036,0.0,,1928.4634797592787
,3.278654592090297,6.436661639012505,2024,1958.3573997975375,4.948536353902796E-5,0.055345304295163544,0.6025527757589654,0.039148561163271534,4935.631859081984,1964.3636117558708
,3.900245777159659,6.455621083153778,2024,1942.900677427429,3.112310375862707E-5,0.05424472230508838,0.5472680668054398,0.0,,1939.692737636577
,3.543372794608459,6.452834182143238,2024,1963.011352001507,4.968939088515558E-5,0.05554221804225977,0.6057679290239677,0.07674717424918875,,1965.0704579520375
,3.3996110853402786,6.601745300860871,2024,1960.0792987469774,8.0164572417328E-5,0.05651469418427148,0.6691311693977836,0.8507878250965006,86.31210655412,1959.5913358157093
,3.25563705346346,6.574022661066469,2024,1969.115419640433,6.88170056593539E-5,0.05588159489599365,0.6444286008487174,0.3809715398949687,460.1399614572668,1973.083346345067
,3.309201460195535,6.663768960723279,2024,1968.208483731586,7.984227618013833E-5,0.05624752502081173,0.6673913357147622,0.7974423935335987,950.5125159545624,1968.532654059312
,3.5672581771737004,6.612005308838197,2024,1956.472439062706,5.194949201025887E-5,0.05524824702639153,0.6070279740687605,0.0,7040.53952594867,1963.1410275463188
,3.3494185431302164,6.603234507251299,2024,1964.526413524067,9.702277803773316E-5,0.05653040344964233,0.7019765272246576,1.0,956.074971205803,1963.7504211218475
,3.157426608206033,6.455422412877074,2024,1952.6921969975274,3.978123705859752E-5,0.05480450975133676,0.5749659740791825,0.0,8789.271561366782,1957.5253023396417
,2.9146688563790497,6.440994144850871,2024,1943.0153601995146,2.5929125508183397E-5,0.053527037944044016,0.5360809876621399,0.0,,1946.575593538913
