LGA_NAME,longitude,latitude,year,ch4,no2,co,isi,hotspots,nearest_landfill_distance_m,local_ch4_1km
,3.382938676718109,6.500321421923453,2020,,7.86003629150162E-5,0.055742791982156106,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,,7.251138421335747E-5,0.05551441273501717,,,,
,3.371041598598168,6.435574518359382,2020,,6.337219166798994E-5,0.05630150646382845,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,,9.249956468548656E-5,0.05687129587006646,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,,8.153353876259668E-5,0.05661279543467964,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,,8.340788453518022E-5,0.05638093300942833,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,1919.209027121344,9.06424183595128E-5,0.058085054836167264,0.6336843520256302,1.0,420.2295484014051,1920.3084365723469
,3.3133979427410822,6.538972605796185,2020,1914.3282245509856,8.393536564538642E-5,0.05733770723362314,0.6184674793095836,0.4899478778853314,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,,6.730029548734508E-5,0.056068899670248196,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,1890.4745392274583,2.7660708705514368E-5,0.0537692587357008,0.4360531902496413,0.0,,
,3.278654592090297,6.436661639012505,2020,,5.0849563627312195E-5,0.056409237922075556,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,,2.6799033056451404E-5,0.05508468568878904,,,,
,3.543372794608459,6.452834182143238,2020,,4.605743588091924E-5,0.05586362815640779,,,,
,3.3996110853402786,6.601745300860871,2020,1915.2876673643202,7.792941073928742E-5,0.05725982189385731,0.5955530428691991,0.11242603550295857,86.31210655412,
,3.25563705346346,6.574022661066469,2020,1915.665083494451,6.435342506589092E-5,0.057172031814306426,0.5784515688164127,0.03348563368188647,460.1399614572668,1916.0059143673873
,3.309201460195535,6.663768960723279,2020,1918.3180787621814,7.347537923871198E-5,0.05766697007467324,0.5975617702441073,0.3017251779466763,950.5125159545624,1921.2036255201538
,3.5672581771737004,6.612005308838197,2020,1894.4901769310088,4.9519505000062904E-5,0.05604992638642814,0.47460176866446907,0.0,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,1919.293544076241,9.454442530555908E-5,0.05750617958796407,0.6313313803981868,0.9781771501925545,956.074971205803,
,3.157426608206033,6.455422412877074,2020,1913.8447182140874,3.825053547327876E-5,0.05603843964313109,0.5369511157377118,0.0,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,1895.4321521413094,2.4806249478075327E-5,0.05440595328191377,0.44189591548593077,0.0,,
