LGA_NAME,longitude,latitude,year,ch4,no2,co,isi,hotspots,nearest_landfill_distance_m,local_ch4_1km
,3.382938676718109,6.500321421923453,2019,,8.931951782898111E-5,0.053012346071748234,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2019,,7.86982229185227E-5,0.05200262296776111,,,,
,3.371041598598168,6.435574518359382,2019,1896.9833163954704,6.462928076634584E-5,0.05231486927596631,0.5410633773550033,0.0,7395.88484241789,
,3.3497221852755534,6.531854886045994,2019,1909.0853416612285,9.269428427675053E-5,0.053786468818862045,0.5971722621270569,0.5207231040564374,1650.6672115471295,1914.9725440891061
,3.3463761052465557,6.492784061706699,2019,1896.9832748619176,8.295558543762406E-5,0.05327718676324348,0.549655963126388,0.0,3372.3690074604483,1896.9832601862681
,3.383099046548305,6.538037721960958,2019,1920.3877111419072,9.303089543969625E-5,0.053725915432500895,0.6427222209845319,1.0,5125.030468664236,
,3.3162607953007317,6.623873329476793,2019,1910.6161139902742,9.646783607607755E-5,0.053978208862246926,0.6114955572767278,0.8512187401076291,420.2295484014051,1910.8018413711852
,3.3133979427410822,6.538972605796185,2019,1907.4544818095835,8.515969520925067E-5,0.053450394090110216,0.5809850130126145,0.22982569399612657,335.1569808235823,1908.597255745098
,3.3371227201358193,6.4553012748114424,2019,1896.983284658257,6.55070450376593E-5,0.05248453848723643,0.5271939117241995,0.0,7102.18461066376,1896.9832244990428
,3.9693518559495082,6.5539418200808415,2019,1873.3912244436765,2.8330128293554533E-5,0.049256021040845484,0.3826111410781488,0.0,,
,3.278654592090297,6.436661639012505,2019,1901.746123681692,4.86398667555006E-5,0.05254096245670201,0.512980916333668,0.0,4935.631859081984,
,3.900245777159659,6.455621083153778,2019,,2.717120558844808E-5,0.05017777628387853,,,,
,3.543372794608459,6.452834182143238,2019,,4.8756650645734256E-5,0.05144477090647593,,,,
,3.3996110853402786,6.601745300860871,2019,1914.3423504050952,8.655102646135397E-5,0.05437539556855502,0.6024420071529456,0.4365967365967367,86.31210655412,
,3.25563705346346,6.574022661066469,2019,1908.8466743426154,6.402616100119103E-5,0.05277675591408392,0.5398695891628963,0.02903184821277317,460.1399614572668,1914.4399870385653
,3.309201460195535,6.663768960723279,2019,1907.2677531318545,7.926716759122619E-5,0.05317558422010621,0.568008821941536,0.1135239474001689,950.5125159545624,1907.459334896756
,3.5672581771737004,6.612005308838197,2019,1889.1187242791086,5.083443978667452E-5,0.05226650312648999,0.4710407516416727,0.0,7040.53952594867,1889.4202207500298
,3.3494185431302164,6.603234507251299,2019,1911.6639926089658,9.906825978599989E-5,0.05425722660111377,0.6188659332018662,0.8786308174063274,956.074971205803,1910.8638880642886
,3.157426608206033,6.455422412877074,2019,1905.5532785781197,3.690568300534664E-5,0.052147307287340766,0.49765041780922153,0.0,8789.271561366782,
,2.9146688563790497,6.440994144850871,2019,1895.6267485019061,2.4045244492632558E-5,0.050563471965878605,0.4311146610085778,0.0,,
