LGA_NAME,longitude,latitude,year,month,ch4,no2,co,isi,hotspots,nearest_landfill_distance_m,local_ch4_1km
,3.382938676718109,6.500321421923453,2020,1,,1.0886794806457372E-4,0.0797243860037448,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,1,,1.1631696148278773E-4,0.08058966749035355,,,,
,3.371041598598168,6.435574518359382,2020,1,,1.1493664876546308E-4,0.08110605139606401,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,1,,1.2901758958758092E-4,0.07879320077147713,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,1,,1.3470220892057138E-4,0.07998483204800644,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,1,,1.0018397680687939E-4,0.07782738797227917,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,1,1919.209027121344,1.0840750716707037E-4,0.07660307477668513,0.7446875664698085,0.630338230269901,420.2295484014051,1920.3084365723469
,3.3133979427410822,6.538972605796185,2020,1,1913.9927178396256,1.2761695589601975E-4,0.07932061960869817,0.7746055273292414,1.0,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,1,,1.2695327926419707E-4,0.08006556619661583,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,1,1893.972901610775,3.5109964957632766E-5,0.07248995717282251,0.5354727609973182,0.0,,
,3.278654592090297,6.436661639012505,2020,1,,9.957094523318927E-5,0.08032397154398417,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,1,,3.8214870066756994E-5,0.0741396021679479,,,,
,3.543372794608459,6.452834182143238,2020,1,,7.010867986040353E-5,0.07773862336641073,,,,
,3.3996110853402786,6.601745300860871,2020,1,1915.2876673643202,7.892432732552868E-5,0.07622709226965123,0.6592504574321322,0.0,86.31210655412,
,3.25563705346346,6.574022661066469,2020,1,1914.8312835250752,9.619074270067025E-5,0.07780091490510539,0.7106202200564774,0.12716568029192601,460.1399614572668,1914.137650413489
,3.309201460195535,6.663768960723279,2020,1,1917.8872167187822,7.466321441967696E-5,0.07509955927694711,0.6716455140186595,0.009771986970684038,950.5125159545624,1921.2036255201538
,3.5672581771737004,6.612005308838197,2020,1,1894.4901769310088,5.196948818220596E-5,0.07555405305814857,0.5565586917109678,0.0,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,1,1919.293544076241,1.0959158529836586E-4,0.07686326429072769,0.7286951731722482,0.4326059050064185,956.074971205803,
,3.157426608206033,6.455422412877074,2020,1,1913.8447182140874,7.190935482546391E-5,0.07879455793118557,0.6759027058795662,0.0,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,1,1875.8697060106563,4.2221648802419024E-5,0.07420913178762709,0.4957085506432826,0.0,,
,3.382938676718109,6.500321421923453,2020,2,,1.047920324022862E-4,0.08669294485781155,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,2,,9.436704393114952E-5,0.08625891974894803,,,,
,3.371041598598168,6.435574518359382,2020,2,,8.822635633814609E-5,0.08637929000845444,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,2,,1.270513439877954E-4,0.08647334404276712,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,2,,1.1227922704173E-4,0.08719963118003721,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,2,,1.1414546545961547E-4,0.08537980987819896,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,2,,1.2890797473324636E-4,0.08392177777607242,,,420.2295484014051,
,3.3133979427410822,6.538972605796185,2020,2,1919.0601272727777,1.2875807225237694E-4,0.08589142027899457,0.8059540435700376,1.0,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,2,,9.329542051093184E-5,0.08653255782505952,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,2,1890.6770298692963,3.621911192725392E-5,0.0796570312914593,0.5588409502439624,0.0,,
,3.278654592090297,6.436661639012505,2020,2,,7.686951100422156E-5,0.08523682591677022,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,2,,3.620631855513061E-5,0.0824860272756888,,,,
,3.543372794608459,6.452834182143238,2020,2,,6.229891830239641E-5,0.08460736442493254,,,,
,3.3996110853402786,6.601745300860871,2020,2,,9.545888320392042E-5,0.08409351444471723,,,86.31210655412,
,3.25563705346346,6.574022661066469,2020,2,1917.252204898466,9.715263638303573E-5,0.08367481391433768,0.7346312795334594,0.206887689539964,460.1399614572668,1919.0600585937482
,3.309201460195535,6.663768960723279,2020,2,1918.0714634357364,8.746771533072988E-5,0.08209674759002233,0.6895459177241754,0.0,950.5125159545624,
,3.5672581771737004,6.612005308838197,2020,2,,6.283958215010414E-5,0.0837681396324236,,,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,2,,1.2662409469958749E-4,0.08475315127591625,,,956.074971205803,
,3.157426608206033,6.455422412877074,2020,2,,5.917606199387036E-5,0.08234930421327553,,,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,2,1907.8685436778062,3.436989036464619E-5,0.07965791243810134,0.5984676075507622,0.0,,
,3.382938676718109,6.500321421923453,2020,3,,7.024650600972844E-5,0.06295832830670725,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,3,,5.8589351552207414E-5,0.06336736282438027,,,,
,3.371041598598168,6.435574518359382,2020,3,,4.527212195498663E-5,0.06360737800576148,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,3,,7.001790228309982E-5,0.06465077184039464,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,3,,6.004611931682476E-5,0.06395013148725243,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,3,,8.274929668268598E-5,0.06352633529729211,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,3,,6.137465302930301E-5,0.06553051685414861,,,420.2295484014051,
,3.3133979427410822,6.538972605796185,2020,3,,5.3814073986936386E-5,0.0645447967054335,,,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,3,,4.261271601918829E-5,0.0631487633495972,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,3,,3.054843537963825E-5,0.06285085769506346,,,,
,3.278654592090297,6.436661639012505,2020,3,,3.1898657909788794E-5,0.06231223786996395,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,3,,2.5630565762023585E-5,0.06291233629999599,,,,
,3.543372794608459,6.452834182143238,2020,3,,4.0560427496268065E-5,0.06352627190051502,,,,
,3.3996110853402786,6.601745300860871,2020,3,,8.911953978997664E-5,0.06541902334486847,,,86.31210655412,
,3.25563705346346,6.574022661066469,2020,3,,4.4825484888098415E-5,0.0635850913287516,,,460.1399614572668,
,3.309201460195535,6.663768960723279,2020,3,,6.586102259987434E-5,0.06612205782920673,,,950.5125159545624,
,3.5672581771737004,6.612005308838197,2020,3,,5.8757677496898474E-5,0.06566816023348683,,,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,3,,7.768185042624431E-5,0.06559752309305514,,,956.074971205803,
,3.157426608206033,6.455422412877074,2020,3,,2.590689695653182E-5,0.06135661096571733,,,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,3,,1.9887481069144706E-5,0.06107631187664855,,,,
,3.382938676718109,6.500321421923453,2020,4,,4.07674641124603E-5,0.048893109407599174,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,4,,3.219831662316313E-5,0.04875698211346302,,,,
,3.371041598598168,6.435574518359382,2020,4,,2.7541153399718163E-5,0.04897068881285259,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,4,,4.2843659878698846E-5,0.05000952062782641,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,4,,3.714138685220449E-5,0.04893814575768166,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,4,,4.3634701249461645E-5,0.049697068264411656,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,4,,4.688854667734693E-5,0.05170585890438444,,,420.2295484014051,
,3.3133979427410822,6.538972605796185,2020,4,,3.836295963083818E-5,0.05018805521976437,,,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,4,,2.801170343277488E-5,0.04887304745394633,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,4,1866.5375296583688,1.7198696607505275E-5,0.04986427220438377,0.35876216091963764,0.0970442724850945,,
,3.278654592090297,6.436661639012505,2020,4,,2.1083906136615833E-5,0.04802953298384939,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,4,,1.7092222321418214E-5,0.04969643205625461,,,,
,3.543372794608459,6.452834182143238,2020,4,,2.1483518988514007E-5,0.049792847963765326,,,,
,3.3996110853402786,6.601745300860871,2020,4,,4.3066095813857523E-5,0.05079751803701347,,,86.31210655412,
,3.25563705346346,6.574022661066469,2020,4,,3.101358984872235E-5,0.050136115539773526,,,460.1399614572668,
,3.309201460195535,6.663768960723279,2020,4,,5.180475193259305E-5,0.05240696307999728,,,950.5125159545624,
,3.5672581771737004,6.612005308838197,2020,4,,2.713813084541575E-5,0.05061477950609306,,,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,4,,5.313774839536444E-5,0.05142546677123008,,,956.074971205803,
,3.157426608206033,6.455422412877074,2020,4,,1.783818423186145E-5,0.04858345893071604,,,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,4,,1.501060133825459E-5,0.04865747556103997,,,,
,3.382938676718109,6.500321421923453,2020,5,,5.234415423488861E-5,0.04400337462396913,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,5,,4.1800074077661526E-5,0.04367784118476078,,,,
,3.371041598598168,6.435574518359382,2020,5,,3.227948050604531E-5,0.04325081303763549,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,5,,5.831379009201743E-5,0.045043193306333454,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,5,,4.343033140924758E-5,0.04395375956657613,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,5,,6.005908039978662E-5,0.0454953746711966,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,5,,4.134744023317148E-5,0.045815357950238576,,,420.2295484014051,
,3.3133979427410822,6.538972605796185,2020,5,,4.431390330068697E-5,0.04463142421498405,,,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,5,,3.175483235781726E-5,0.04328007578009385,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,5,,1.8642596414208804E-5,0.04392155816070387,,,,
,3.278654592090297,6.436661639012505,2020,5,,2.330696748704271E-5,0.04286980289682851,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,5,,1.5120954770211323E-5,0.043722448814693414,,,,
,3.543372794608459,6.452834182143238,2020,5,,2.68464080245812E-5,0.04370068242511126,,,,
,3.3996110853402786,6.601745300860871,2020,5,,5.554584240932936E-5,0.046252732196270456,,,86.31210655412,
,3.25563705346346,6.574022661066469,2020,5,,3.1915618585150444E-5,0.04427862089322661,,,460.1399614572668,
,3.309201460195535,6.663768960723279,2020,5,,4.46612834671424E-5,0.04594297898669211,,,950.5125159545624,
,3.5672581771737004,6.612005308838197,2020,5,,3.502822939002898E-5,0.0452293571912307,,,7040.53952594867,
,3.3494185431302164,6.603234507251299,2020,5,,5.75096008284519E-5,0.045922956870478565,,,956.074971205803,
,3.157426608206033,6.455422412877074,2020,5,,1.8685968781701465E-5,0.04312548615807536,,,8789.271561366782,
,2.9146688563790497,6.440994144850871,2020,5,,1.4693664212828625E-5,0.04335012831049577,,,,
,3.382938676718109,6.500321421923453,2020,6,,7.010242384643027E-5,0.04407610334139192,,,5698.835062667379,
,3.394872806449673,6.454097770861189,2020,6,,6.808361760827047E-5,0.04248921553427666,,,,
,3.371041598598168,6.435574518359382,2020,6,,4.415388552988478E-5,0.04226823840177395,,,7395.88484241789,
,3.3497221852755534,6.531854886045994,2020,6,,6.629809957889386E-5,0.04400517137713656,,,1650.6672115471295,
,3.3463761052465557,6.492784061706699,2020,6,,6.335636578853356E-5,0.04400220478879694,,,3372.3690074604483,
,3.383099046548305,6.538037721960958,2020,6,,7.344657491449508E-5,0.04440230848399535,,,5125.030468664236,
,3.3162607953007317,6.623873329476793,2020,6,,4.590401733520147E-5,0.04425499883280513,,,420.2295484014051,
,3.3133979427410822,6.538972605796185,2020,6,,6.462905688664288E-5,0.043647937351196965,,,335.1569808235823,
,3.3371227201358193,6.4553012748114424,2020,6,,4.634347937935792E-5,0.04350101027487162,,,7102.18461066376,
,3.9693518559495082,6.5539418200808415,2020,6,,2.2010105130482303E-5,0.040885900768959454,,,,
,3.278654592090297,6.436661639012505,2020,6,,2.791812443313209E-5,0.04161373964252145,,,4935.631859081984,
,3.900245777159659,6.455621083153778,2020,6,,2.055368473303591E-5,0.04073353948137476,,,,
,3.543372794608459,6.452834182143238,2020,6,,3.784139624585203E-5,0.04215476202406326,,,,
,3.3996110853402786,6.601745300860871,2020,6,,8.145652542299495E-5,0.04402508130267622,,,86.31210655412,
,3.25563705346346,6.574022661066469,2020,6,,4.151305491400452E-5,0.04265599346832105,,,460.1399614572668,
,3.309201460195535,6.663768960723279,2020,6,,5.637703956124292E-5,0.04456454043045927,,,950.5125159545624,
